Month,Longitudes,Latitudes,Elevation,ExtSR,MonthlyAvgI_HP,MonthlyAvgI_IncP,OptSlopeAngle,MontlyAvgI_B,Ratio_D_G
January,68,26,81,1.367,127.69,174.81,27,159.03,0.35
February,68,26,81,1.367,126.36,155.29,27,133.49,0.37
March,68,26,81,1.367,193.46,216.06,27,199.96,0.31
April,68,26,81,1.367,218.66,220.21,27,207.2,0.31
May,68,26,81,1.367,234.86,217.67,27,207.18,0.33
June,68,26,81,1.367,220.55,197.84,27,179.96,0.37
July,68,26,81,1.367,217.05,200.08,27,156.16,0.43
August,68,26,81,1.367,214.78,209.59,27,173.18,0.39
September,68,26,81,1.367,188.46,201.57,27,175.91,0.34
October,68,26,81,1.367,177.65,215.08,27,199.19,0.3
November,68,26,81,1.367,139.43,187.52,27,173.26,0.33
December,68,26,81,1.367,128.32,182.72,27,170.84,0.34
January,69,26,20,1.367,126.95,173.46,27,156.48,0.36
February,69,26,20,1.367,129.65,159.81,27,138.53,0.37
March,69,26,20,1.367,193.02,215.53,27,199.23,0.32
April,69,26,20,1.367,219.21,220.42,27,207.98,0.31
May,69,26,20,1.367,233.68,216.29,27,204.42,0.34
June,69,26,20,1.367,221.69,199.27,27,177.29,0.38
July,69,26,20,1.367,215.08,198.01,27,153.87,0.44
August,69,26,20,1.367,212.58,207.46,27,168.77,0.4
September,69,26,20,1.367,186.45,199.49,27,172.35,0.36
October,69,26,20,1.367,178.02,215.56,27,199.86,0.3
November,69,26,20,1.367,139.02,186.94,27,172.24,0.33
December,69,26,20,1.367,128.51,183.27,27,171.6,0.34
January,70.14,26.12,68,1.367,130.91,181.76,28,166.32,0.35
February,70.14,26.12,68,1.367,139.48,173.66,28,148.26,0.36
March,70.14,26.12,68,1.367,197.12,220.76,28,200.55,0.32
April,70.14,26.12,68,1.367,217.25,217.96,28,199.82,0.33
May,70.14,26.12,68,1.367,233.92,216.95,28,193.41,0.36
June,70.14,26.12,68,1.367,222.04,199.46,28,168.51,0.41
July,70.14,26.12,68,1.367,218.51,200.36,28,156.82,0.43
August,70.14,26.12,68,1.367,210.14,204.69,28,162.66,0.41
September,70.14,26.12,68,1.367,182.46,194.41,28,158.33,0.39
October,70.14,26.12,68,1.367,179.33,217.39,28,197.45,0.32
November,70.14,26.12,68,1.367,140.56,189.82,28,171.37,0.34
December,70.14,26.12,68,1.367,132.45,191.55,28,179.93,0.33
January,71.51,26.13,223,1.367,135.51,188.61,28,175.67,0.33
February,71.51,26.13,223,1.367,158.02,200.16,28,186.29,0.3
March,71.51,26.13,223,1.367,190.73,212.91,28,179.79,0.35
April,71.51,26.13,223,1.367,217.76,218.11,28,197.52,0.34
May,71.51,26.13,223,1.367,238.32,220.35,28,201.48,0.35
June,71.51,26.13,223,1.367,214.43,193.01,28,156.64,0.43
July,71.51,26.13,223,1.367,208.39,191.87,28,136.79,0.48
August,71.51,26.13,223,1.367,187.91,182.91,28,124.23,0.48
September,71.51,26.13,223,1.367,197.46,211.74,28,187.11,0.34
October,71.51,26.13,223,1.367,169.88,204.84,28,179.31,0.34
November,71.51,26.13,223,1.367,141.59,191.74,28,174.85,0.33
December,71.51,26.13,223,1.367,129.71,187.05,28,175.04,0.34
January,72.32,26.23,191,1.367,128.81,180.55,28,169.79,0.33
February,72.32,26.23,191,1.367,138.19,172.98,28,153.04,0.34
March,72.32,26.23,191,1.367,194.76,218.86,28,203.82,0.3
April,72.32,26.23,191,1.367,214.22,214.67,28,202.18,0.32
May,72.32,26.23,191,1.367,228.83,211.31,28,191.86,0.36
June,72.32,26.23,191,1.367,217.56,194.61,28,164.51,0.41
July,72.32,26.23,191,1.367,212.06,194.61,28,147.14,0.45
August,72.32,26.23,191,1.367,207.82,202.21,28,165,0.4
September,72.32,26.23,191,1.367,170.66,182.08,28,150.82,0.39
October,72.32,26.23,191,1.367,175.84,213.77,28,196.61,0.31
November,72.32,26.23,191,1.367,138.91,189.33,28,175.52,0.32
December,72.32,26.23,191,1.367,130.81,191.77,28,186.26,0.3
January,73.053,26.244,211,1.367,134.32,189.57,29,179.41,0.31
February,73.053,26.244,211,1.367,150.34,192.12,29,182.81,0.28
March,73.053,26.244,211,1.367,193.58,217.79,29,198.94,0.31
April,73.053,26.244,211,1.367,215.42,215.41,29,199.39,0.32
May,73.053,26.244,211,1.367,228.32,210.79,29,184.42,0.37
June,73.053,26.244,211,1.367,206.19,184.87,29,147.38,0.44
July,73.053,26.244,211,1.367,181.63,167.27,29,102.65,0.55
August,73.053,26.244,211,1.367,166.71,161.38,29,104.12,0.51
September,73.053,26.244,211,1.367,192.49,206.51,29,185.34,0.33
October,73.053,26.244,211,1.367,162.05,196.16,29,173.33,0.34
November,73.053,26.244,211,1.367,140.21,192.84,29,182.45,0.3
December,73.053,26.244,211,1.367,128.41,188.82,29,182.54,0.3
January,73.432,26.25,246,1.367,135.38,191.56,29,182.74,0.3
February,73.432,26.25,246,1.367,149.79,191.03,29,180.75,0.29
March,73.432,26.25,246,1.367,191.72,215.35,29,19.11,0.32
April,73.432,26.25,246,1.367,215.61,215.64,29,199.63,0.32
May,73.432,26.25,246,1.367,228.24,210.35,29,185.34,0.38
June,73.432,26.25,246,1.367,207.47,186.14,29,14.86,0.43
July,73.432,26.25,246,1.367,182.31,167.91,29,103,0.55
August,73.432,26.25,246,1.367,165.97,160.41,29,105.32,0.51
September,73.432,26.25,246,1.367,191.77,205.67,29,185.01,0.33
October,73.432,26.25,246,1.367,161.98,195.85,29,171.71,0.34
November,73.432,26.25,246,1.367,140.22,192.93,29,182.89,0.3
December,73.432,26.25,246,1.367,128.67,189.25,29,183.36,0.3
January,74.12,26.2,351,1.367,136.57,193.57,29,185.12,0.3
February,74.12,26.2,351,1.367,150.95,192.26,29,180.1,0.3
March,74.12,26.2,351,1.367,193.59,217.59,29,198.51,0.32
April,74.12,26.2,351,1.367,213.53,213.11,29,194.69,0.33
May,74.12,26.2,351,1.367,226.93,208.41,29,183.94,0.39
June,74.12,26.2,351,1.367,205.21,183.84,29,146.24,0.44
July,74.12,26.2,351,1.367,181.93,167.53,29,102.34,0.55
August,74.12,26.2,351,1.367,161.57,156.12,29,96.69,0.54
September,74.12,26.2,351,1.367,192.55,206.47,29,184.52,0.34
October,74.12,26.2,351,1.367,163.37,197.88,29,174.31,0.34
November,74.12,26.2,351,1.367,140.94,194.16,29,184.4,0.3
December,74.12,26.2,351,1.367,129.49,190.91,29,185.27,0.3
January,73.32,28.008,226,1.367,110.61,151.22,29,125.12,0.42
February,73.32,28.008,226,1.367,141.74,182.29,29,164.66,0.33
March,73.32,28.008,226,1.367,177.25,200.05,29,172.58,0.36
April,73.32,28.008,226,1.367,207.13,209.22,29,189.26,0.34
May,73.32,28.008,226,1.367,220.16,205.44,29,173.04,0.4
June,73.32,28.008,226,1.367,204.47,186.21,29,136.69,0.47
July,73.32,28.008,226,1.367,192.31,178.79,29,112.95,0.53
August,73.32,28.008,226,1.367,169.64,166.05,29,109.27,0.5
September,73.32,28.008,226,1.367,186.45,202.36,29,175.74,0.35
October,73.32,28.008,226,1.367,162.41,199.04,29,173.82,0.35
November,73.32,28.008,226,1.367,128.04,176.36,29,157.34,0.35
December,73.32,28.008,226,1.367,114.19,166.66,29,150.29,0.37
January,91.69,26.195,187,1.367,120.19,166.31,30,143.72,0.38
February,91.69,26.195,187,1.367,135.96,166.93,30,131.75,0.4
March,91.69,26.195,187,1.367,170.33,188.51,30,147.44,0.4
April,91.69,26.195,187,1.367,143.99,141.8,30,85.37,0.57
May,91.69,26.195,187,1.367,144.96,133.7,30,80.53,0.59
June,91.69,26.195,187,1.367,150.41,134.87,30,89.53,0.55
July,91.69,26.195,187,1.367,123.41,112.28,30,62.8,0.64
August,91.69,26.195,187,1.367,165.29,157.31,30,119.98,0.49
September,91.69,26.195,187,1.367,114.78,117.73,30,65.82,0.61
October,91.69,26.195,187,1.367,145.35,176.56,30,156.22,0.33
November,91.69,26.195,187,1.367,135.57,186.29,30,173.9,0.31
December,91.69,26.195,187,1.367,125.59,185.04,30,176.82,0.29
January,75.206,26.3,346,1.367,130.38,184.71,30,172.64,0.32
February,75.206,26.3,346,1.367,140.07,178.65,30,165.08,0.31
March,75.206,26.3,346,1.367,189.54,212.06,30,193.55,0.31
April,75.206,26.3,346,1.367,207.88,207.93,30,195.4,0.32
May,75.206,26.3,346,1.367,225.62,206.64,30,181.75,0.39
June,75.206,26.3,346,1.367,191.57,171.49,30,128.82,0.47
July,75.206,26.3,346,1.367,163.72,150.18,30,91.37,0.56
August,75.206,26.3,346,1.367,198.89,192.05,30,156.53,0.42
September,75.206,26.3,346,1.367,158.98,167.32,30,128.51,0.45
October,75.206,26.3,346,1.367,175.61,214.63,30,200.65,0.3
November,75.206,26.3,346,1.367,141.57,196.53,30,187.2,0.3
December,75.206,26.3,346,1.367,131.14,194.74,30,17.86,0.3
January,76.126,26.2,251,1.367,129.78,182.95,30,169.72,0.33
February,76.126,26.2,251,1.367,141.09,179.68,30,166.34,0.31
March,76.126,26.2,251,1.367,188.52,210.66,30,195.43,0.31
April,76.126,26.2,251,1.367,207.12,207.23,30,191.84,0.33
May,76.126,26.2,251,1.367,224.84,205.86,30,181.04,0.39
June,76.126,26.2,251,1.367,192.35,172.28,30,129.28,0.47
July,76.126,26.2,251,1.367,158.91,145.93,30,85.92,0.57
August,76.126,26.2,251,1.367,199.17,192.23,30,156.09,0.42
September,76.126,26.2,251,1.367,158.11,166.03,30,128.36,0.44
October,76.126,26.2,251,1.367,176.66,216.03,30,202.57,0.3
November,76.126,26.2,251,1.367,141.46,195.01,30,183,0.3
December,76.126,26.2,251,1.367,130.89,193.81,30,185.84,0.3
January,77.226,26.2,196,1.367,133.94,189.78,30,177.22,0.32
February,77.226,26.2,196,1.367,152.84,195.56,30,184.12,0.29
March,77.226,26.2,196,1.367,189.09,212.28,30,193.09,0.32
April,77.226,26.2,196,1.367,209.12,208.15,30,188.09,0.35
May,77.226,26.2,196,1.367,221.46,203.12,30,174.95,0.39
June,77.226,26.2,196,1.367,205.72,183.85,30,143.49,0.45
July,77.226,26.2,196,1.367,146.51,134.71,30,73.82,0.6
August,77.226,26.2,196,1.367,139.55,133.87,30,73.76,0.6
September,77.226,26.2,196,1.367,187.12,200.23,30,177,0.34
October,77.226,26.2,196,1.367,164.34,199.62,30,176.26,0.34
November,77.226,26.2,196,1.367,140.67,194.29,30,181.46,0.31
December,77.226,26.2,196,1.367,127.42,186.84,30,173.97,0.32
January,78.226,26.3,188,1.367,117.19,160.81,30,137.3,0.39
February,78.226,26.3,188,1.367,141.15,178.66,30,161.31,0.32
March,78.226,26.3,188,1.367,183.67,205.76,30,189.34,0.31
April,78.226,26.3,188,1.367,208.14,208.66,30,190.25,0.33
May,78.226,26.3,188,1.367,220.52,203.51,30,168.75,0.4
June,78.226,26.3,188,1.367,191.66,172.44,30,122.84,0.49
July,78.226,26.3,188,1.367,142.78,131.53,30,73.2,0.6
August,78.226,26.3,188,1.367,182.41,176.75,30,135.57,0.45
September,78.226,26.3,188,1.367,153.67,161.75,30,118.05,0.46
