"Latitude (decimal degrees):	19.911",,,,,,2016,,Jan,,161.18,,210.27,,200.44,,0.29
"Longitude (decimal degrees):	75.349",,,,,,2016,,Feb,,174.18,,209.19,,202.74,,0.26
"Radiation database:	PVGIS-SARAH",,,,,,2016,,Mar,,208.99,,224.7,,218.32,,0.27
"Optimal slope angle (deg.):	26",,,,,,2016,,Apr,,218.64,,211.57,,208.04,,0.29
,,,,,,2016,,May,,229.16,,204.41,,210.4,,0.3
"year		month		H(h)_m		H(i_opt)_m		Hb(n)_m		Kd",,,,,,2016,,Jun,,165.59,,146.95,,107.01,,0.51
"2016		Jan		161.18		210.27		200.44		0.29",,,,,,2016,,Jul,,116.59,,108.08,,41.28,,0.73
"2016		Feb		174.18		209.19		202.74		0.26",,,,,,2016,,Aug,,145.83,,138.73,,74.32,,0.62
"2016		Mar		208.99		224.7		218.32		0.27",,,,,,2016,,Sep,,142.97,,144.93,,95.14,,0.53
"2016		Apr		218.64		211.57		208.04		0.29",,,,,,2016,,Oct,,168.35,,192.78,,169.76,,0.35
"2016		May		229.16		204.41		210.4		0.3",,,,,,2016,,Nov,,166.11,,213.08,,210.05,,0.27
"2016		Jun		165.59		146.95		107.01		0.51",,,,,,2016,,Dec,,157.43,,213.21,,212.1,,0.27
"2016		Jul		116.59		108.08		41.28		0.73",,,,,,,,,,171.2516667,,184.825,,162.4666667,,0.390833333
"2016		Aug		145.83		138.73		74.32		0.62",,,,,,,,,,,,,,,,
"2016		Sep		142.97		144.93		95.14		0.53",,,,,,,,,,,,,,,,
"2016		Oct		168.35		192.78		169.76		0.35",,,,,,,,,,,,,,,,
"2016		Nov		166.11		213.08		210.05		0.27",,,,,,,,,,,,,,,,
"2016		Dec		157.43		213.21		212.1		0.27",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
H(h)_m: Irradiation on horizontal plane (kWh/m2/mo),,,,,,,,,,,,,,,,
H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo),,,,,,,,,,,,,,,,
Hb(n)_m: Monthly beam (direct) irradiation on a plane always normal to sun rays (kWh/m2/mo),,,,,,,,,,,,,,,,
Kd: Ratio of diffuse to global irradiation (-),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PVGIS (c) European Communities, 2001-2020,,,,,,,,,,,,,,,
