Longitudes,Latitudes,Elevation,ExtSR,YearAvgI_HP,YearAvgI_IncP,OptSlopeAngle,YearAvgI_B,Ratio_D_G
73.035,21.275,29,1.367,173.9091667,188.6891667,27,169.6,0.3808
72.261,22.644,14,1.367,175.58,191.2808,27,169.35,0.374167
70.082,23.453,6,1.367,177.6717,189.7625,25,156.7592,0.42
71.875,25.437,65,1.367,178.015,195.0083,28,170.9675,0.361667
73.773,25.691,318,1.367,175.2042,193.4175,29,168.5325,0.368333
73.949,24.609,510,1.367,168.9333,187.8917,30,167.5033,0.3825
74.898,24.289,481,1.367,170.5442,188.9717,29,169.1917,0.373333
75.707,22.904,517,1.367,167.6941667,183.6,28,163,0.3842
75.215,24.832,472,1.367,169.7233333,188.4408333,30,167.3,0.3775
73.633,21.537,240,1.367,172.8408333,187.9608333,27,167.8,0.3858
74.687,21.373,136,1.367,171.4358333,186.1066667,27,166.7,0.3858
75.847,22.968,511,1.367,167.4708333,183.405,28,163.3,0.38
76.34,21.961,299,1.367,173.3525,188.965,28,169.9,0.3675
76.129,21.308,273,1.367,171.3041667,186.11,27,164.7,0.3833
75.988,20.651,375,1.367,165.6366667,179.4666667,27,155.6,0.4067
77.289,22.124,538,1.367,172.0075,187.4816667,28,166.2,0.3758
77.324,25.596,417,1.367,167.9858333,185.6575,29,159.4,0.385
77.183,24.353,422,1.367,169.0216667,186.6408333,29,166.1,0.3775
77.886,24.737,450,1.367,166.6766667,184.52,30,159.8,0.3892
78.097,23.936,410,1.367,165.1516667,182.1633333,29,157.5,0.3933
77.886,23.485,426,1.367,166.525,183.0225,28,159.6,0.385
78.097,22.742,322,1.367,166.0808333,181.6291667,28,157.6,0.3917
79.082,20.19,210,1.367,168.0483333,181.53,26,159,0.3892
78.554,21.733,562,1.367,165.4775,181.1908333,28,161,0.3933
79.609,20.421,231,1.367,166.7966667,180.6558333,26,157.8,0.3908
79.609,21.896,559,1.367,166.165,181.3566667,28,159.5,0.395
79.293,23.55,406,1.367,163.2458333,179.5358333,29,153.2,0.4042
79.047,24.992,254,1.367,165.7533333,183.7558333,30,157.1,0.395
78.73,25.818,176,1.367,164.0216667,180.52,29,148.4,0.41
79.539,25.912,136,1.367,163.2866667,179.355,29,146.5,0.415
79.715,25.374,181,1.367,162.9483333,178.4258333,28,146.3,0.4142
79.939,24.357,308,1.367,164.1091667,181.3841667,29,154.1,0.3992
79.833,23.811,41,1.367,164.4475,180.8291667,29,153.9,0.4
79.622,22.908,42,1.367,165.1983333,180.8458333,28,154.7,0.4017
79.693,22.226,507,1.367,162.5733333,178.2008333,28,155.8,0.41
79.728,21.508,321,1.367,165.5808333,180.48,27,158,0.3958
79.447,20.161,239,1.367,168.5008333,181.8008333,26,159.3,0.3858
80.079,20.326,216,1.367,168.0241667,181.4216667,26,157.7,0.3925
80.325,21.867,568,1.367,164.4941667,179.6558333,28,155.4,0.3942
79.715,25.374,423,1.367,162.9483333,178.4258333,28,146.3,0.4142
79.868,24.485,300,1.367,164.6183333,181.6283333,29,152.8,0.3992
79.868,24.485,210,1.367,164.6183333,181.6283333,29,152.8,0.3992
79.376,25.123,155,1.367,163.5125,179.31,29,148.3,0.4092
78.919,26.011,154,1.367,163.1866667,179.6558333,29,146.9,0.4108
78.497,26.955,122,1.367,163.0758333,180.7175,30,146.8,0.4175
80.255,25.885,129,1.367,166.4890909,179.8081818,29,145.1,0.42
80.361,25.473,151,1.367,161.215,176.0358333,28,142.2,0.4225
80.325,25.06,347,1.367,161.1925,175.6408333,28,141.8,0.4217
80.958,24.357,372,1.367,161.7158333,177.7041667,29,148.9,0.4042
80.818,23.876,450,1.367,161.8441667,177.8658333,29,150.3,0.4017
80.993,23.392,695,1.367,161.6608333,177.145,28,149.4,0.4008
80.923,24.325,345,1.367,161.715,177.6525,29,148.8,0.4042
80.536,25.948,113,1.367,161.6083333,176.8216667,28,141.7,0.4242
80.501,25.441,127,1.367,159.8291667,174.6816667,29,139.7,0.4317
80.923,23.683,467,1.367,160.5541667,176.2666667,29,148.4,0.405
80.923,23.102,714,1.367,161.9433333,177.0158333,28,149.6,0.4008
81.134,21.835,349,1.367,163.1591667,178.0683333,28,153.7,0.4058
80.818,21.246,350,1.367,161.8966667,176.3475,28,151.7,0.4083
80.642,20.458,409,1.367,167.3883333,180.5558333,26,155,0.3933
81.521,20.524,415,1.367,163.1258333,176.2916667,27,151.3,0.4083
81.767,21.9,271,1.367,159.3483333,174.2366667,28,148.3,0.4192
81.802,23.457,151,1.367,164.2675,179.1425,28,153.9,0.3892
81.802,24.773,351,1.367,160.71,176.91,29,146.1,0.4108
81.697,25.726,98,1.367,160.7283333,175.4966667,28,140,0.4283
82.611,25.25,85,1.367,157.4875,170.8733333,28,134.2,0.4417
83.138,26.074,77,1.367,156.4108333,170.0966667,28,133.1,0.445
83.736,24.613,544,1.367,147.1175,162.9816667,30,135.7,0.4055
84.122,23.586,78,1.367,161.685,175.9691667,28,146.3,0.4033
84.052,22.713,546,1.367,161.2733333,175.3816667,27,148.2,0.3975
84.052,22.713,499,1.367,161.2733333,175.3816667,27,148.2,0.3975
84.368,21.9,275,1.367,165.03,179.73,27,153.3,0.3983
84.439,20.491,198,1.367,158.83,169.6933333,25,131.5,0.415
84.896,20.161,162,1.367,165.2275,178.0391667,26,151.1,0.3992
85.212,21.344,175,1.367,157.3075,170.695,27,140.8,0.4258
85.353,23.425,618,1.367,161.1908333,175.785,28,144.2,0.4158
85.036,24.485,171,1.367,163.0716667,177.515,28,145.8,0.4108
84.861,25.314,65,1.367,154.6766667,167.2641667,28,129.2,0.455
85.529,26.264,58,1.367,156.7858333,170.2216667,28,133.9,0.4425
85.458,25.123,61,1.367,154.7733333,166.9175,27,127.9,0.455
85.95,24.581,207,1.367,149.0325,164.2708333,29,135.7,0.4
86.126,23.94,364,1.367,162.1375,176.8591667,28,143.9,0.4142
86.618,23.166,169,1.367,161.7825,176.13,28,143.4,0.4142
86.232,22.03,454,1.367,158.9258333,171.1825,26,133.6,0.425
85.529,20.918,59,1.367,157.6875,170.0283333,26,138.7,0.4275
86.724,20.655,6,1.367,158.1283333,170.0708333,26,136.1,0.4292
87.111,22.583,84,1.367,160.3216667,173.8758333,27,139.2,0.425
87.462,24.293,109,1.367,148.5316667,164.125,30,133.6,0.4109
87.392,25.536,37,1.367,156.8183333,169.755,27,133.4,0.4458
88.306,26.232,64,1.367,144.4383333,160.1733333,30,120.7,0.4758
88.482,27.237,551,1.367,138.4308333,152.0833333,29,108.1,0.4825
89.536,26.39,42,1.367,142.3833333,158.6591667,30,122,0.4567
90.626,25.853,235,1.367,145.1516667,162.0883333,30,127,0.4392
91.224,26.484,45,1.367,120.505,133.3258333,30,90.32,0.5467
92.208,25.631,1009,1.367,146.5041667,161.7216667,29,122.6,0.435
93.017,25.187,614,1.367,147.1316667,161.5925,30,121,0.445
92.771,24.357,100,1.367,148.6008333,162.415,28,124.1,0.4333
92.665,22.972,148,1.367,146.45,157.0808333,25,110.8,0.4583
94.072,26.358,108,1.367,138.665,154.075,29,118.6,0.4583
95.161,27.985,390,1.367,116.6608333,130.92,30,98.94,0.485
75.65,20.425,651,1.367,167.8541667,181.6416667,27,159.6,0.3933
91.692,26.195,187,1.367,139.66,155.62,30,119.49,0.46
68,26,81,1.367,182.27,198.2,27,177.98,0.35
73.32,28.008,226,1.367,167.87,185.31,29,153.4,0.397
73.053,26.244,211,1.367,147.97,193.63,29,168.52,0.36
69,26,20,1.367,182.005,181.79,27,176.885,0.35
70.14,26.12,68,1.367,183.68,200.73,28,175.28,0.3625
71.51,26.13,223,1.367,182.47,200.275,28,172.89,0.3675
72.32,26.23,191,1.367,179.87,197.22,28,175.54,0.35
73.432,26.25,246,1.367,174.92,193.51,29,142.81,0.364
74.12,26.2,351,1.367,174.71,193.49,29,168.01,0.37
75.206,26.3,346,1.367,171.25,189.75,30,151.61,0.37
76.126,26.2,251,1.367,170.74,188.975,30,164.62,0.3725
77.226,26.2,196,1.367,168.148,186.858,30,159.769,0.3858
78.226,26.3,188,1.367,165.148,182.258,30,144.17,0.39
79.211,26.1,151,1.367,162.9,179.17,29,145.809,0.4167
80.312,26.126,122,1.367,161.014,176.4209,29,141.39,0.42667
81.201,26.206,111,1.367,163.14,178.25,28,146.15,0.4133
82.121,26.26,96,1.367,160.625,175.95,29,140.065,0.4308
83.221,26.16,80,1.367,156.41,170.109,28,133.3679,0.4458
84.11,26.23,67,1.367,155.465,169.187,28,133.3383,0.4475
85.375,26.117,55,1.367,157.057,170.3158,28,142.0245,0.442
86.227,26.274,61,1.367,157.897,171.493,28,154.7158,0.4333
87.026,26.255,64,1.367,161.6225,176.0017,28,146.5767,0.405
88.002,26.105,54,1.367,147.9308,163.8033,30,124.7124,0.456
89.155,26.164,51,1.367,146.08,161.9467,30,124.3358,0.455
90.004,26.017,28,1.367,142.8117,159.6858,31,124.5283,0.4542
91.111,26.078,40,1.367,145.965,163.2492,30,130.1825,0.435
92.147,26.195,56,1.367,146.4775,163.2508,30,130.8317,0.432
93.029,26.11,82,1.367,144.1292,160.0833,29,125.2383,0.4433
94.101,26.203,615,1.367,140.59,155.856,29,120.5675,0.4525
95.028,26.2,1354,1.367,126.2642,138.1217,29,95.12,0.509
96.236,26.095,531,1.367,104.9858,113.0125,26,64.5947,0.6183
97.379,26.16,416,1.367,113.2442,124.2775,30,84.4767,0.54667
68,28,47,1.367,178.3442,196.4675,28,174.24,0.3583
69.194,28.284,69,1.367,182.4692,201.8817,29,178.933,0.3608
